,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10487,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19509375.0,19509375.0,False,,1,,,,2023-10-10T09:30:00.000Z,27657.55747291752,11763640055.260105,47.3084,-0.15399035,-0.40825968,0.36351246,6.97920406,-5.78030582,-9.9140095,539581660323.20026,50.2377,580808706931.27,,2023-10-10T09:30:00.000Z,,,,,,2023-10-10 15:02:53.654151
1,1027,Ethereum,ETH,ethereum,7516,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120250549.97124174,120250549.97124174,True,,2,,,,2023-10-10T09:30:00.000Z,1588.744756131669,7091748645.480207,100.2462,-0.22145654,-1.7107772,-4.46469326,-2.25656008,-13.92092824,-15.86187202,191047430688.75952,17.7875,191047430688.76,,2023-10-10T09:30:00.000Z,,,,,,2023-10-10 15:02:53.654151
2,825,Tether USDt,USDT,tether,63332,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83494944357.81573,86625667477.82788,True,,3,,,,2023-10-10T09:29:00.000Z,1.0001118562154432,20380931851.09529,52.5517,-0.0016144,-0.01508254,0.00472694,0.04356385,0.15672907,0.01360194,83504283786.30023,7.7742,86635357097.15,,2023-10-10T09:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-10-10 15:02:53.654151
3,1839,BNB,BNB,bnb,1669,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153845485.12222946,153845485.12222946,False,,4,,,,2023-10-10T09:30:00.000Z,208.9379247279346,455940676.5192301,64.2029,0.05178835,-0.8650124,-3.01813666,-1.90947544,-12.96209714,-15.82021159,32144156390.20096,2.9926,32144156390.2,,2023-10-10T09:30:00.000Z,,,,,,2023-10-10 15:02:53.654151
4,52,XRP,XRP,xrp,1108,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53387299665.0,99988380689.0,False,,5,,,,2023-10-10T09:30:00.000Z,0.49882474298006996,894554945.647329,57.14,-0.44006093,-2.15856369,-2.0555299,-0.31770288,-20.84463896,5.25971423,26630906033.7936,2.4795,49882474298.01,,2023-10-10T09:30:00.000Z,,,,,,2023-10-10 15:02:53.654151
5,3408,USDC,USDC,usd-coin,14381,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25487595453.9926,25487595453.9926,False,,6,,,,2023-10-10T09:29:00.000Z,0.9999201509286225,2742474112.195121,51.7681,-0.00946022,-0.00916958,-0.01042972,-0.00756258,-0.01232531,0.0013677,25485560293.16395,2.3728,25485560293.16,,2023-10-10T09:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-10-10 15:02:53.654151
6,5426,Solana,SOL,solana,534,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,414379453.0242751,559508706.7907081,True,,7,,,,2023-10-10T09:29:00.000Z,22.313505729083477,345991592.0884769,75.5685,-0.36380219,-2.46634096,-7.65943752,20.99131484,-8.81909955,1.3118285,9246258299.07164,0.8608,12484600734.45,,2023-10-10T09:29:00.000Z,,,,,,2023-10-10 15:02:53.654151
7,2010,Cardano,ADA,cardano,943,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35150108365.169,36244287752.866,False,,8,,,,2023-10-10T09:29:00.000Z,0.25233030965819414,128297484.49245752,58.5452,-0.23319978,-1.40632529,-3.89194178,0.96544367,-14.65503476,-13.8281865,8869437728.302174,0.8257,11354863934.62,,2023-10-10T09:29:00.000Z,,,,,,2023-10-10 15:02:53.654151
8,74,Dogecoin,DOGE,dogecoin,803,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141351806383.70523,141351806383.70523,True,,9,,,,2023-10-10T09:30:00.000Z,0.059045176380232836,226209074.37841266,93.1162,-0.21268417,-1.84994162,-4.74773021,-4.8282996,-21.66528264,-9.57291443,8346142339.590397,0.7771,8346142339.59,,2023-10-10T09:30:00.000Z,,,,,,2023-10-10 15:02:53.654151
9,1958,TRON,TRX,tron,847,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88987158228.84273,88987174289.8278,True,,10,71659659264.0,6201339148.89049,,2023-10-10T09:30:00.000Z,0.08653877526886156,166092968.92242667,49.519,0.00457412,-1.57396757,-1.39607533,10.07798723,12.0706267,10.92953763,7700839687.780445,0.717,7700841077.68,,2023-10-10T09:30:00.000Z,,,,,,2023-10-10 15:02:53.654151
